,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
Wak.SOUTHERN_WAKASHAN.MAKAH,-,-,1,-,-,0,-,0,Wakashan
NC.UBANGI.SANGO,1,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.SIO,0,0,0,1,0,0,0,1,Austronesian
IE.CELTIC.IRISH_GAELIC,0,0,0,0,1,0,0,0,Indo-European
AA.SOUTHERN_CUSHITIC.IRAQW,0,0,0,0,0,1,0,1,Afro-Asiatic
Sko.KRISA.ISAKA,0,-,0,0,0,1,0,1,Sko
IE.ROMANCE.ITALIAN,0,0,1,0,1,0,0,-,Indo-European
AA.HIGHLAND_EAST_CUSHITIC.SIDAMO,1,1,1,1,1,1,1,1,Afro-Asiatic
NC.BANTOID.SHONA,0,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.JABEM,0,-,0,1,0,0,0,1,Austronesian
May.MAYAN.JACALTECO_WESTERN,1,0,0,0,1,0,0,0,Mayan
EBH.EAST_BIRDS_HEAD.SOUGB,0,0,0,1,0,0,0,1,East_Bird's_Head
Hok.SERI.SERI,-,1,0,1,0,1,-,1,Seri
Dog.DOGON.DOGON_JAMSAY,0,1,0,1,0,1,-,1,Dogon
ST.JINGHPO.JINGPHO,0,1,1,1,0,1,1,1,Sino-Tibetan
Jap.JAPANESE.TOKYO_JAPANESE,1,1,1,1,1,1,1,1,Japonic
AuA.BAHNARIC.SEDANG,0,0,0,0,1,0,0,1,Austroasiatic
Kxa.KXA.JUHOAN,0,1,0,1,0,0,0,1,Kxa
NC.PLATOID.JUKUN_TAKUM,0,0,0,0,0,0,0,1,Atlantic-Congo
Sad.SANDAWE.SANDAWE,0,1,1,1,0,1,0,1,Sandawe
An.MALAYO_SUMBAWAN.INDONESIAN_2,0,0,0,0,1,0,0,1,Austronesian
An.OCEANIC.SIAR,1,0,-,0,1,0,0,1,Austronesian
Bor.BORDER.IMONDA,0,1,-,1,0,1,-,1,Border
An.OCEANIC.IAAI,1,0,0,0,1,0,0,0,Austronesian
Nad.NADAHUP.JUPDA,0,1,1,1,1,1,1,1,Nadahup
TNG.EASTERN_HIGHLANDS.YAGARIA,1,1,1,1,1,1,1,1,Nuclear_Trans_New_Guinea
